country,Region,area,population,density,"Sex ratio (m per 100 f, 2017)",GDP,"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)","Life expectancy at birth (females/males, years)","Population age distribution (0-14 / 60+ years, %)",International migrant stock (000/% of total pop.),Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants),Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),"Pop. using improved drinking water (urban/rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Net Official Development Assist. received (% of GNI)
Algeria,NorthernAfrica,2381741,41318,17.3,102,164779,3.8,4154.1,12.2,37.3,50.5,10.8,34.5,54.7,11.4,17.0/70.7,160,161,29992,47091,-17099,-27229,2,70.7,2.8,3,76.5/74.1,29.3/9.4,242.4/0.6,99.8,27.7,7.2,...,...,112.7/119.5,101.7/98.1,45.1/28.9,31.6,113,38.2,135,0.8,145.4/3.7,5900,55,84.3/81.8,89.8/82.2,0.05,-99
Angola,MiddleAfrica,1246700,29784,23.9,96.2,117955,3,4714.1,6.8,51.2,42,4.2,37.6,58.2,6.6,59.8/77.1,175,176,21011,8790,12221,-10273,3.5,44.1,5,6,63.0/57.4,46.8/4.0,106.8/0.4,45.7,65.4,3.3,...,...,100.4/156.9,22.7/35.1,8.2/10.4,38.2,60.8,12.4,146,46.5,34.8/1.4,3902,25,75.4/28.2,88.6/22.5,0.42,-99
Benin,WesternAfrica,114763,11176,99.1,99.5,8476,5.2,779.1,23.2,24.9,51.9,43.2,10.2,46.6,1,70.0/73.4,152,158,410,2630,-2220,-885,2.8,44,3.7,5.2,61.4/58.5,42.7/5.0,245.4/2.3,0.8,67.7,4.6,0.1,4.4,123.7/134.2,46.8/66.7,8.4/22.4,7.2,85.6,6.8,88,38.7,6.3/0.6,96,17,85.2/72.1,35.6/7.3,5.09,-99
Botswana,SouthernAfrica,582000,2292,4,97.7,14391,-0.3,6360.6,2.4,33.4,64.2,25.7,14.9,59.4,18.6,73.6/81.6,110,110,7321,6103,1218,1120,1.8,57.4,1.3,2.9,66.1/59.8,31.4/6.4,160.6/7.1,2.8,35.2,5.4,0.4,...,105.8/109.4,.../...,27.7/19.2,9.5,169,27.5,28,19.3,7.0/3.2,47,44,99.2/92.3,78.5/43.1,0.46,-99
Burkina Faso,WesternAfrica,272967,19193,70.2,99.5,11065,4.1,611.1,34.5,21.8,43.7,80,4.9,15.1,2.9,76.5/90.5,131,134,2019,3699,-1680,-998,3,29.9,5.9,5.6,59.3/58.0,45.2/3.9,704.7/3.9,32.7,64.8,5,~0.0,4.1,86.1/89.9,32.2/35.1,3.8/7.3,11,80.6,11.4,31,19.8,2.8/0.1,123,9,97.5/75.8,50.4/6.7,9.11,-99
Cabo Verde,WesternAfrica,4033,546,135.6,99.3,1603,1.5,3080.2,9.5,19.8,70.7,27.2,11.5,61.3,10.5,53.7/84.6,98,98,29,485,-455,-73,1.2,65.5,2,2.5,74.0/70.1,30.2/6.9,14.9/2.9,0.1,22.5,4.8,0.3,5,106.9/112.8,98.3/87.7,25.2/18.1,23.6,127.2,43,65,22.1,0.5/1.0,2,17,94.0/87.3,81.6/54.3,9.81,-99
Cameroon,MiddleAfrica,475650,24054,50.9,100.2,28416,5.8,1217.3,22.7,28.3,49.1,61.8,8.7,29.5,4.6,71.1/81.2,155,160,2130,4899,-2768,-1173,2.7,54.4,3.6,5,57.7/55.1,42.7/4.8,382.0/1.6,544.9,67.5,4.1,...,3,110.7/123.5,53.5/62.6,15.2/19.7,31.1,71.8,20.7,775,40.3,7.0/0.3,408,14,94.8/52.7,61.8/26.8,2.31,-99
Central African Republic,MiddleAfrica,622984,4659,7.5,97.3,1633,4.8,333.2,34.9,24.8,40.4,72.2,4.3,23.4,6.9,71.9/84.6,114,113,213,147,66,-99,0.4,40,2.6,5.1,51.0/47.8,43.2/5.5,81.6/1.7,470.5,93.5,4.2,...,1.2,79.8/107.3,11.8/23.0,1.5/4.1,8.6,20.4,4.6,60,35.6,0.3/0.1,19,5,89.6/54.4,43.6/7.2,32.25,-99
Chad,MiddleAfrica,1284000,14900,11.8,100.2,10009,6.6,713,25.4,39,35.6,76.6,2,21.4,5.8,64.0/79.3,146,151,1990,1371,619,-99,3.3,22.5,3.4,6.3,52.8/50.5,47.1/4.0,517.0/3.7,512.3,91.2,3.6,~0.0,2.8,88.0/114.6,14.0/30.7,1.1/5.7,12.8,40.2,2.7,43,4,0.7/~0.0,288,6,71.8/44.8,31.4/6.5,5.74,-99
Congo,MiddleAfrica,342000,5261,15.4,100.1,8493,1.2,1838.1,4.7,70,25.3,40.7,25.8,33.5,11.5,67.1/72.6,106,106,2540,9793,-7253,...,2.6,65.4,3.2,4.9,64.1/61.0,42.3/5.2,393.0/8.5,54.9,46.5,5.2,...,...,114.8/107.0,50.6/58.4,8.3/11.1,7.4,111.7,7.6,134,65.4,3.1/0.7,648,24,95.8/40.0,20.0/5.6,1.05,-99
Democratic Republic of the Congo,MiddleAfrica,2344858,81340,35.9,99.6,37569,7,486.2,19.9,44.2,35.9,65.3,5.9,28.9,3.6,70.4/71.8,104,104,5103,5906,-803,-1546,3.3,42.5,4,6.4,59.5/56.7,46.3/4.7,545.7/0.7,2163.3,73.2,4.3,...,2.2,101.8/112.0,33.3/53.6,4.2/9.1,8.9,53,3.8,349,67.4,4.7/0.1,1179,16,81.1/31.2,28.5/28.7,8.01,-99
Egypt,NorthernAfrica,1002000,97553,98,102.3,315917,4.2,3452.3,11.2,36.3,52.5,25.4,25.3,49.3,11.5,23.1/76.2,120,122,22507,58053,-35545,-16786,2.2,43.1,1.7,3.4,73.0/68.7,33.5/7.9,491.6/0.5,256.5,18.9,5.6,0.8,...,103.8/104.1,85.9/86.3,35.6/36.9,14.9,111,35.9,156,0.1,201.9/2.2,3509,36,100.0/99.0,96.8/93.1,0.78,-99
Equatorial Guinea,MiddleAfrica,28052,1268,45.2,124,13812,-7.4,16344.1,1.2,73.1,25.7,18.8,18,63.2,7.7,71.5/91.8,117,118,7443,5456,1987,-99,4.2,39.9,3.1,5,58.4/55.5,37.2/4.4,10.8/1.3,-99,70,3.8,...,-99,78.2/80.0,.../...,.../...,24,66.7,21.3,177,56.3,5.3/6.5,841,87,72.5/31.5,79.9/71.0,0.15,-99
Gabon,MiddleAfrica,267668,2025,7.9,105.6,13735,3.9,7960.7,3.8,54.5,41.7,16.2,19.1,64.8,18.1,40.7/58.3,97,92,2851,2930,-79,...,3.3,87.2,2.7,4,65.8/63.1,35.9/6.4,268.4/15.6,2.9,40.8,3.4,...,2.7,139.9/144.0,-99,.../...,17.1,168.9,23.5,270,88.5,5.2/3.1,559,64,97.2/66.7,43.4/31.5,0.73,-99
Gambia,WesternAfrica,11295,2101,207.6,98,942,4.7,473.2,21.1,14.9,64,30.4,14.4,55.2,29.7,72.2/82.6,82,82,32,471,-439,...,3.1,59.6,4.3,5.6,61.6/59.1,45.3/3.8,192.5/9.7,7.9,49.8,7.3,...,2.8,96.8/90.1,.../...,2.5/3.7,9.4,131.3,17.1,67,48.1,0.5/0.3,7,7,94.2/84.4,61.5/55.0,12.35,-99
Ghana,WesternAfrica,238537,28834,126.7,99.3,37156,3.9,1355.6,19,26.9,54.1,41.9,14.2,43.8,5.9,75.7/78.8,144,144,7221,11939,-4718,-2809,2.4,54,3.4,4.2,62.6/60.7,38.5/5.3,399.5/1.5,27.3,46.5,3.6,...,6.2,108.7/107.3,61.1/63.1,13.2/19.1,12.7,129.7,23.5,238,40.9,14.5/0.6,410,14,92.6/84.0,20.2/8.6,4.81,-99
Guinea-Bissau,WesternAfrica,36125,1861,66.2,96.9,978,4.8,530,45,14.5,40.5,60.1,5.8,34.1,6.5,67.4/78.5,137,138,885,212,673,-53,2.6,49.3,4.1,4.9,57.7/54.3,41.5/4.9,22.3/1.2,8.8,80.4,5.6,...,2.2,.../...,.../...,-99,13.7,69.3,3.5,77,70.5,0.3/0.1,25,17,98.8/60.3,33.5/8.5,9.03,-99
Guinea,WesternAfrica,245857,12717,51.8,100.6,8875,0.1,703.9,19.8,32.8,47.4,69.7,7.4,22.9,6.8,79.4/85.1,130,131,1753,2082,-329,-1240,2.3,37.2,3.8,5.1,58.4/57.4,42.3/5.2,228.4/1.8,9.2,65.7,5.6,...,3.2,83.8/98.6,30.7/46.8,6.7/14.9,21.9,87.2,4.7,185,26,2.4/0.2,113,12,92.7/67.4,34.1/11.8,8.65,-99
Kazakhstan,CentralAsia,2724902,18204,6.7,93.9,181754,1.2,10312.1,5,32.5,62.5,18.1,20.4,61.6,5.6,66.3/77.5,126,127,36775,25175,11601,-5464,1.6,53.2,0.9,2.7,73.9/64.3,27.9/11.1,3546.8/20.1,9.2,14.1,4.4,3.3,2.8,109.1/108.8,113.5/110.6,51.3/41.4,27.1,187.2,72.9,82,1.2,248.3/14.3,7091,193,99.4/85.6,97.0/98.1,0.05,-99
Kyrgyzstan,CentralAsia,199949,6045,31.5,98.4,6572,3.5,1106.4,15.4,25.9,58.7,29.2,21,49.8,7.7,49.7/77.5,108,110,1423,3844,-2421,-721,1.6,35.7,1.6,3.1,74.3/66.4,31.8/7.6,204.4/3.4,8.2,19.6,6.5,1.9,5.5,106.8/107.9,92.8/91.4,53.3/40.8,19.2,132.8,30.2,44,3.4,9.6/1.7,80,27,96.7/86.2,89.1/95.6,12.16,-99
Lesotho,SouthernAfrica,30355,2233,73.6,94.4,2008,2.8,940.6,7.7,31.3,61,39.7,20,40.3,27.5,59.7/74.6,101,100,648,1727,-1079,-168,1.3,27.3,3,3.3,54.7/50.1,35.4/6.7,6.6/0.3,~0.0,59.8,10.6,...,...,104.0/107.0,62.0/45.7,11.7/8.0,25,105.5,16.1,18,1.6,2.5/1.2,31,28,94.6/77.0,37.3/27.6,4.11,-99
